id,trial,session,stim_type,factual_truth,resp,rt,correct,condition
10,46,1,1,0,1,2.62,0,4
10,47,1,0,0,1,4.56,0,3
10,48,1,0,0,0,3.07,1,3
10,49,1,0,1,1,3.19,1,1
10,50,1,1,0,1,2.4,0,4
10,51,1,0,0,1,4.23,0,3
10,52,1,1,1,1,2.96,1,2
10,53,1,1,1,1,3.6,1,2
10,55,1,1,1,1,2.9,1,2
10,56,1,0,1,0,3.78,0,1
10,57,1,0,1,0,3.44,0,1
10,58,1,1,1,1,3.26,1,2
10,59,1,0,0,0,3.68,1,3
10,60,1,0,0,1,3.35,0,3
11,2,1,0,0,0,8.62,1,3
11,3,1,0,0,1,9.57,0,3
11,4,1,1,1,1,4.72,1,2
11,5,1,0,0,1,8.4,0,3
11,6,1,0,0,0,9.93,1,3
11,7,1,0,1,1,9.3,1,1
11,8,1,0,1,1,5.15,1,1
11,9,1,0,1,1,8.51,1,1
11,10,1,1,1,1,6.7,1,2
11,11,1,1,0,1,7.91,0,4
11,12,1,0,0,1,4.7,0,3
11,13,1,1,0,1,4.38,0,4
11,14,1,1,1,1,4.32,1,2
11,15,1,0,0,1,9.35,0,3
11,17,1,0,1,0,7.72,0,1
11,19,1,0,0,1,7.14,0,3
11,20,1,0,1,1,7.93,1,1
11,21,1,1,1,1,6.05,1,2
11,22,1,1,1,1,4.42,1,2
11,23,1,0,1,1,7.8,1,1
11,24,1,0,1,0,7.16,0,1
11,25,1,1,1,0,4.69,0,2
11,26,1,1,0,1,4.36,0,4
11,27,1,1,0,1,4.54,0,4
11,28,1,0,1,1,4.3,1,1
11,29,1,1,0,1,7.72,0,4
11,30,1,1,1,1,6.81,1,2
11,32,1,1,0,0,6.37,1,4
11,33,1,0,0,1,5.32,0,3
11,34,1,0,0,1,9.62,0,3
11,35,1,1,1,0,4.86,0,2
11,36,1,0,1,1,7.3,1,1
11,37,1,1,0,1,5.48,0,4
11,38,1,0,1,1,4.36,1,1
11,39,1,1,0,0,2.65,1,4
11,40,1,1,0,1,2.92,0,4
11,41,1,0,0,1,8.14,0,3
11,42,1,1,1,0,8.43,0,2
11,45,1,0,0,1,7.24,0,3
11,46,1,1,1,1,3.03,1,2
11,47,1,0,1,1,9.67,1,1
11,48,1,1,0,1,4.18,0,4
11,49,1,0,1,0,6.52,0,1
11,50,1,1,1,1,5.03,1,2
11,51,1,1,1,0,4.11,0,2
11,52,1,1,0,1,2.44,0,4
11,53,1,1,0,1,4.8,0,4
11,54,1,1,1,1,2.38,1,2
11,55,1,1,1,1,4.51,1,2
11,56,1,0,0,1,5.86,0,3
11,57,1,1,0,0,7.05,1,4
11,58,1,0,1,0,7.63,0,1
11,60,1,1,1,1,4.73,1,2
12,1,1,1,0,1,3.26,0,4
12,2,1,1,0,1,6.68,0,4
12,3,1,1,0,0,8.07,1,4
12,4,1,0,1,0,5.36,0,1
12,5,1,0,1,1,9.38,1,1
12,6,1,1,1,0,4.65,0,2
12,7,1,1,0,1,3.42,0,4
12,8,1,1,1,0,9.03,0,2
12,9,1,0,1,0,6.2,0,1
12,10,1,0,0,1,3.38,0,3
12,11,1,1,1,1,4.18,1,2
12,12,1,1,0,1,8.49,0,4
12,14,1,0,1,0,3.9,0,1
12,15,1,0,1,1,7.38,1,1
